greet,hi
greet,hello
greet,hey
greet,good morning
greet,good day
greet,good afternoon
greet,good evening
greet,greetings
greet,Well hello
greet,hello again
greet,ay
greet,hi mysterious stranger
greet,Hey hello
greet,Hello my friend
greet,Glad to see you
greet,"Glad to hear you, my friend again"
greet,Hello my friend
greet,Hi dude
greet,Hello I'll be glad to talk
greet,Hi I will be glad to talk
greet,Hello computer
greet,Hello robot
greet,Hey buddy
greet,Hi Hi
greet,Hey Ya
greet,Hello let's chat
greet,Hello again
greet,Hell is there anybody there
farewell,bye
farewell,bye bye
farewell,Until tomorrow
farewell,goodbye
farewell,Take care
farewell,see you later
farewell,see ya
farewell,see you
farewell,ciao
farewell,adios
farewell,farewell
farewell,i'm out
farewell,i'm off
farewell,gotta go
farewell,i have to go
farewell,keep in touch
farewell,catch you later
farewell,bye for now
farewell,see you soon
farewell,see you next time
farewell,have a nice day
farewell,have a good day
farewell,All right let's say goodbye
farewell,Thank you bye
farewell,"Thank you, all the best"
farewell,Good luck
farewell,ok see you
farewell,It was nice to talk
farewell,all the best
farewell,It was nice to chat
farewell,Good night
farewell,It was nice to talk to you
farewell,It was nice to talk with you
farewell,I was happy to chat with you
farewell,We had a great chat
farewell,I was glad to talk with you
farewell,I was glad to talk to you
mission,what is your purpose
mission,What's your purpose
mission,tell me why you were created
mission,Why have you developed
mission,for which you have developed
mission,for what purpose you have created
mission,For which tasks you have developed
mission,What you do with it
mission,The meaning of your creation
mission,For what purpose you have created
mission,Why have you created
mission,What features should you perform
mission,What features are you done
mission,For some functions you planned
mission,You for what functions created
mission,What is the meaning of your existence
mission,What can you do
mission,"So, show us what you can do"
mission,I wonder what you can do
thanks,Yeah thanks
thanks,thanks a lot
thanks,thanks for the answer
thanks,thanks for the help
thanks,Thank you for your reply
thanks,thanks for the answer
thanks,thank you explained
thanks,thanks
thanks,thank you
thanks,thanks a lot buddy
thanks,thank you so much
thanks,thanks for the clarifications
thanks,Thanks you
thanks,Thank you very much.
thanks,Thanks for the information.
thanks,Thank you very much for your help.
thanks,thanks for the chat
thanks,And thank you
thanks,thanks for the company
thanks,thanks
thanks,thank
thanks,very grateful
thanks,thank you very much
thanks,thank you very much
thanks,"Well, thank you"
thanks,thank you friend
thanks,thank you very much
thanks,Well thank you
thanks,thank you for everything
agree,Yes something like that
agree,strongly agree
agree,I approve
agree,I completely agree
agree,I understand you
agree,Yes
agree,I said yes
agree,right
agree,Here agree
agree,Agree
agree,absolutely right
agree,I agree with you
agree,yes I agree
agree,Yeah right
agree,Yeah that's right
agree,that's it
agree,absolutely correct
agree,absolutely correct observation
agree,quite the right idea!
agree,this is true
agree,exactly
agree,correctly
agree,Yes right
agree,Yes Yes
agree,Yes of course
agree,Of course yes
agree,of course
agree,"Yes, no doubt"
agree,yes
agree,by itself
agree,In this there is no doubt
agree,you're absolutely right
agree,you are certainly right
agree,you're saying is true
agree,you can not agree
agree,you're right without any doubt
agree,There is no doubt in your rightness
agree,Yeah right
agree,Yeah you're right
agree,"Well, yes, you're right"
agree,I understood
agree,yes I understand
agree,thank you understand
agree,thanks for the explanation I realized
agree,I understand everything
agree,I get it now
agree,Yeah I figured
agree,the idea is clear
agree,well I understood
agree,Now it is clear
agree,I understood
agree,"Yes I understand, understood"
agree,Yeah I figured
agree,yeah
disagree,not approve of
disagree,disagrees
disagree,strongly disagree
disagree,no
disagree,Nope
disagree,That's really not
disagree,no and no
disagree,"No, not right"
disagree,answer is incorrect
disagree,no no
disagree,not now
disagree,let's not now
disagree,no I do not want to
disagree,No it is not necessary
disagree,"in my opinion, there is no"
disagree,I think not
disagree,not at all
disagree,No way
disagree,no no 
disagree,understood nothing
disagree,unfortunately I did not understand
disagree,Nope I did not understand
disagree,I do not understand
disagree,I do not understand
disagree,the idea did not catch
disagree,Again it is not clear
disagree,not understood
disagree,not understand you
disagree,I did not understand
disagree,I do not understand it